category,trait,acanthaster,actinopyga echinites,amphiodia occidentalis,amphipholis squamata,anneissia japonica,antedon mediterranea,aporometra wilsoni,apostichopus californicus,apostichopus japonicus,aquilonastra burtoni,arachnoides placenta,asterias rubens,asterina gibbosa,asterina phylactica,asterina stellifera,australostichopus mollis,breviturma brevipes,breviturma dentata,breviturma doederleini,breviturma longispina,breviturma pica,breviturma pusilla,brisaster latifrons,centrostephanus rodgersii,cryptasterina hystera,cryptasterina pacifica,cryptasterina pentagona,cucumaria frondosa,cucumaria miniata,cucumaria piperata,cucumaria pseudocurata,dendraster excentricus,diadema antillarum,diadema savignyi,diadema setosum,echinocardium cordatum,eupentacta quinquesemita,evechinus chloroticus,florometra serratissima,gorgonocephalus eucnemis,heliocidaris crassispina,heliocidaris erythrogramma,heliocidaris tuberculata,holopneustes purpurascens,holothuria (halodeima) atra,holothuria (metriatyla) scabra,holothuria (panningothuria) forskali,leptopentacta elongata,leptosynapta clarki,loxechinus albus,meridiastra atyphoida,meridiastra calcar,meridiastra gunnii,meridiastra mortenseni,meridiastra occidens,meridiastra oriens,mesocentrotus franciscanus,molpadia intermedia,odontaster validus,ophiocoma aethiops,ophiocoma echinata,ophiocoma erinaceus,ophiocoma scolopendrina,ophiocomella alexandri,ophiocomella ophiactoides,ophiocomella pumila,ophiomastix annulosa,ophiomastix caryophyllata,ophiomastix elegans,ophiomastix endeani,ophiomastix janualis,ophiomastix macroplaca,ophiomastix marshallensis,ophiomastix mixta,ophiomastix occidentalis,ophiomastix pictum,ophiomastix venosa,ophiomastix wendtii,ophiopholis aculeata,ophiura sarsii,parvulastra exigua,parvulastra parvivipara,parvulastra vivipara,patiria chilensis,patiria miniata,patiria pectinifera,patiriella regularis,pentamera populifera,pisaster ochraceus,psammechinus miliaris,pseudocnus lubricus,psolidium bullatum,psolus chitonoides,pycnopodia helianthoides,strongylocentrotus droebachiensis,strongylocentrotus fragilis,strongylocentrotus pallidus,strongylocentrotus purpuratus,tripneustes gratilla,tripneustes kermadecensis
biomass removal,biomass removal vulnerability trait,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable
biophysical traits,adult body mass/body size,50mm-999mm,50mm-999mm,0.5mm-49mm,0.5mm-49mm,50mm-999mm,50mm-999mm,0.5mm-49mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,0.5mm-49mm,0.5mm-49mm,50mm-999mm,50mm-999mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,50mm-999mm,50mm-999mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,50mm-999mm,50mm-999mm,50mm-999mm,0.5mm-49mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,0.5mm-49mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,0.5mm-49mm,50mm-999mm,0.5mm-49mm,50mm-999mm,50mm-999mm,0.5mm-49mm,0.5mm-49mm,50mm-999mm,0.5mm-49mm,0.5mm-49mm,50mm-999mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm,50mm-999mm,0.5mm-49mm,50mm-999mm,0.5mm-49mm,50mm-999mm,0.5mm-49mm,0.5mm-49mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,0.5mm-49mm,50mm-999mm,50mm-999mm,50mm-999mm
biophysical traits,biomineral,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite,high mg calcite
biophysical traits,calcium carbonate structure location,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,external with a cover,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,external with a cover,external with a cover,internal,internal,internal,internal,internal,internal,internal,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,internal,external with a cover,internal,internal,external with a cover,external with a cover,external with a cover,external with a cover,internal,internal,internal,internal,internal,external with a cover,internal,internal,internal,internal,internal,internal,external with a cover,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,external with a cover,internal,internal,internal,internal,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover
biophysical traits,calcium carbonate structure stages,adult,both,both,both,adult,adult,adult,both,both,adult,both,adult,adult,adult,adult,both,both,both,both,both,both,both,adult,both,adult,adult,adult,both,both,both,both,both,both,both,both,both,both,both,adult,both,both,adult,both,adult,both,both,both,both,both,both,adult,adult,adult,adult,adult,adult,both,both,adult,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,adult,adult,adult,adult,adult,adult,adult,both,adult,both,both,both,both,adult,both,both,both,both,both,both
biophysical traits,communication requirement (sound),no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
biophysical traits,extreme pressure wave sensitive structures,none,low,none,none,medium,medium,medium,low,low,none,none,none,none,none,none,low,none,none,none,none,none,none,none,none,none,none,none,low,low,low,low,none,none,none,none,none,low,none,medium,none,none,none,none,none,low,low,low,low,low,none,none,none,none,none,none,none,none,low,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,low,none,none,low,low,low,none,none,none,none,none,none,none
biophysical traits,flight,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
biophysical traits,respiration structures,diffusion,diffusion,diffusion;filter feeders,diffusion;filter feeders,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion;filter feeders,diffusion;filter feeders,diffusion;filter feeders,diffusion;filter feeders,diffusion;filter feeders,diffusion;filter feeders,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion;filter feeders,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion;filter feeders,diffusion;filter feeders,diffusion;filter feeders,diffusion;filter feeders,diffusion;filter feeders,diffusion;filter feeders,diffusion;filter feeders,diffusion;filter feeders,diffusion;filter feeders,diffusion;filter feeders,diffusion;filter feeders,diffusion;filter feeders,diffusion;filter feeders,diffusion;filter feeders,diffusion;filter feeders,diffusion;filter feeders,diffusion;filter feeders,diffusion;filter feeders,diffusion;filter feeders,diffusion;filter feeders,diffusion;filter feeders,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion,diffusion
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",no,na,na,na,na,na,na,na,na,no,na,no,na,no,no,na,na,na,na,na,na,na,na,na,no,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,no,no,no,no,no,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,no,no,no,no,no,no,no,na,no,na,na,na,na,no,na,na,na,na,na,na
breeding/nesting range/number of spawning aggregations (fish),number of sites,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,no,na,na,na,na,na,na,na,na,no,na,no,na,no,no,na,na,na,na,na,na,na,na,na,no,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,no,no,no,no,no,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,no,no,no,no,no,no,no,na,no,na,na,na,na,no,na,na,na,na,na,na
foraging range,"if one/few, size",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
foraging range,"number of sites, incl. terrestrial wetlands",does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate
foraging range,sub-population dependence on particular sites,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
movement,adult mobility,mobile resident,mobile resident,mobile resident,mobile resident,nearly sessile/sedentary,nearly sessile/sedentary,nearly sessile/sedentary,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,nearly sessile/sedentary,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,nearly sessile/sedentary,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,nearly sessile/sedentary,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,nearly sessile/sedentary,nearly sessile/sedentary,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident
movement,planktonic larval duration (pld) exposure,<1month,<1month,unknown,not larvae,<1week,<1week,<1week,<4months,<1week,<1month,<1month,<4months,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<4months,<4months,not larvae,not larvae,<1month,<4months,<1month,<1month,not larvae,<4months,<4months,<4months,<4months,<4months,<1month,<1month,<1week,<1week,<4months,<1month,<4months,<1month,<1month,<1month,<4months,<4months,not larvae,<1month;<4months,<1month,<1month,<1month,<1month,<1month,<1month,<4months,<1week,4months-1yr,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<4months,unknown,not larvae,not larvae,not larvae,<1month,<1month,<1month,<4months,<1month,<4months,<1month,not larvae,<1month,<4months,<4months,<4months,4months-1yr,<4months,<4months,<1month;<4months,<1month;<4months
physiological tolerance breadths,dissolved oxygen,low tolerance,low tolerance,low tolerance,high tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,medium tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance
physiological tolerance breadths,ph,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2
