category,trait,aetobatidae,alopias pelagicus,alopias superciliosus,alopias vulpinus,amblyraja,anacanthobatidae,apristurus,arhynchobatidae,asymbolus,atelomycterus,aulohalaelurus,bathyraja,bathytoshia,beringraja,brachaeluridae,breviraja,brevitrygon,bythaelurus,carcharhinidae,carcharhinus leucas,carcharodon carcharias,centrophoridae,cephaloscyllium,cephalurus cephalus,cetorhinus maximus,ctenacis,dactylobatus,dalatiidae,dasyatis,dentiraja,dipturus,echinorhinus brucus,echinorhinus cookei,eridacnis,etmopteridae,figaro,fontitrygon,galeocerdo cuvier,galeorhinus galeus,galeus,ginglymostoma cirratum,glaucostegidae,glyphis,gurgesiellidae,gymnuridae,halaelurus,haploblepharus,hemigaleidae,hemiscylliidae,hemitrygon,heterodontidae,hexanchiformes,hexatrygon bickelli,himantura,holohalaelurus,hongeo,hypanus,hypnos monopterygius,isurus oxyrinchus,isurus paucus,lamna ditropis,lamna nasus,leptocharias smithii,leucoraja,maculabatis,malacoraja,manta,megachasma pelagios,megatrygon microps,mitsukurina owstoni,mobula,mobula alfredi,mobula birostris,myliobatidae,narcinidae,narkidae,nebrius ferrugineus,neoraja,neotrygon,notoraja,odontaspididae,okamejei,orbiraja,orectolobidae,oxynotidae,parascylliidae,parmaturus,pastinachus,pateobatis,pentanchus,platyrhinidae,plesiobatis daviesi,poroderma,prionace glauca,pristidae,pristiophoridae,proscyllium,pseudocarcharias kamoharai,pseudotriakidae,pteroplatytrygon violacea,raja,rajella,rhincodon typus,rhinidae,rhinobatidae,rhinopteridae,rostroraja,schroederichthys,scyliorhinus,somniosidae,somniosus microcephalus,sphyrnidae,spiniraja,squalidae,squatinidae,stegostoma fasciatum,taeniura,taeniurops,telatrygon,torpedinidae,triakidae,triakis semifasciata,trygonorrhinidae,urogymnus,urolophidae,urotrygonidae,zanobatidae,zearaja,zearaja maugeana
biophysical traits,adult body mass/body size,50mm-999mm;>1000mm,>1000mm,>1000mm,>1000mm,50mm-999mm;>1000mm,50mm-999mm,50mm-999mm,50mm-999mm;>1000mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm;>1000mm,>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm,50mm-999mm,50mm-999mm;>1000mm,>1000mm,>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm,>1000mm,50mm-999mm,50mm-999mm;>1000mm,50mm-999mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,>1000mm,>1000mm,50mm-999mm,50mm-999mm;>1000mm,50mm-999mm,50mm-999mm;>1000mm,>1000mm,>1000mm,50mm-999mm,>1000mm,50mm-999mm;>1000mm,>1000mm,50mm-999mm,50mm-999mm;>1000mm,50mm-999mm,50mm-999mm,50mm-999mm;>1000mm,50mm-999mm,50mm-999mm,50mm-999mm,>1000mm,>1000mm,50mm-999mm;>1000mm,50mm-999mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm,>1000mm,>1000mm,>1000mm,>1000mm,50mm-999mm,50mm-999mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,50mm-999mm;>1000mm,50mm-999mm,50mm-999mm,>1000mm,50mm-999mm;>1000mm,50mm-999mm,50mm-999mm;>1000mm,>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm,50mm-999mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm,50mm-999mm,>1000mm,50mm-999mm,>1000mm,>1000mm,50mm-999mm,50mm-999mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm,50mm-999mm;>1000mm,50mm-999mm,>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,>1000mm,>1000mm,50mm-999mm,50mm-999mm;>1000mm,50mm-999mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm;>1000mm,50mm-999mm
biophysical traits,calcium carbonate structure location,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
biophysical traits,calcium carbonate structure stages,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
biophysical traits,communication requirement (sound),no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
biophysical traits,extreme pressure wave sensitive structures,unknown,medium,medium,medium,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,medium,unknown,unknown,unknown,medium,medium,medium,medium,unknown,unknown,medium,low,unknown,medium,unknown,unknown,unknown,medium,medium,low,medium,unknown,unknown,low,low,unknown,low,unknown,medium,unknown,unknown,unknown,unknown,medium,low,unknown,low,medium,unknown,unknown,unknown,unknown,unknown,unknown,medium,medium,medium,medium,low,unknown,unknown,unknown,unknown,medium,unknown,medium,unknown,unknown,unknown,unknown,unknown,unknown,low,unknown,unknown,unknown,medium,unknown,unknown,low,medium,low,unknown,unknown,unknown,unknown,unknown,unknown,unknown,medium,unknown,medium,low,medium,low,unknown,unknown,unknown,medium,unknown,unknown,unknown,unknown,unknown,unknown,medium,medium,high,unknown,medium,medium,low,unknown,unknown,unknown,unknown,low,medium,unknown,unknown,unknown,unknown,unknown,unknown,unknown
biophysical traits,flight,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
biophysical traits,"navigation requirements (sound or light, or magnetic)",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
biophysical traits,respiration structures,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,few,large,NA,NA,NA,small,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,small,NA,NA,NA,NA,NA,NA,NA,NA,medium,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,many,few,NA,NA,NA,few,NA,NA,does not aggregate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,few,many,NA,NA,NA,NA,NA,NA,NA,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,does not aggregate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,few,NA,NA,one;few;many,NA,NA,NA,NA,NA,few,NA,few,NA,NA,does not aggregate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
foraging range,"if one/few, size",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,large for adults;small for juveniles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,large for adults;small for juveniles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
foraging range,"number of sites, incl. terrestrial wetlands",does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,many,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,many,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate
foraging range,sub-population dependence on particular sites,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
movement,adult mobility,mobile resident,nomadic,nomadic,nomadic,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident;horizontal migrator,horizontal migrator,mobile resident;horizontal migrator,mobile resident,mobile resident,mobile resident,mobile resident;vertical migrator,mobile resident,mobile resident,mobile resident;vertical migrator,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident;vertical migrator,mobile resident,mobile resident,mobile resident;horizontal migrator,mobile resident,mobile resident,mobile resident,mobile resident,horizontal migrator,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,nomadic;horizontal migrator,mobile resident;horizontal migrator,mobile resident,mobile resident;horizontal migrator,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident;vertical migrator;horizontal migrator,mobile resident,mobile resident;vertical migrator,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident;vertical migrator,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident;vertical migrator,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident;horizontal migrator,mobile resident;horizontal migrator,mobile resident,mobile resident,mobile resident;vertical migrator,mobile resident,mobile resident,mobile resident,mobile resident,horizontal migrator,mobile resident,mobile resident,mobile resident;horizontal migrator,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident;horizontal migrator,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident
movement,planktonic larval duration (pld) exposure,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae
physiological tolerance breadths,dissolved oxygen,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,medium tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,medium tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,unknown,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,medium tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,high tolerance,medium tolerance
physiological tolerance breadths,ph,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4
