category,trait,aetobatidae,alopias pelagicus,alopias superciliosus,alopias vulpinus,amblyraja,anacanthobatidae,apristurus,arhynchobatidae,asymbolus,atelomycterus,aulohalaelurus,bathyraja,bathytoshia,beringraja,brachaeluridae,breviraja,brevitrygon,bythaelurus,carcharhinidae,carcharhinus leucas,carcharodon carcharias,centrophoridae,cephaloscyllium,cephalurus cephalus,cetorhinus maximus,ctenacis,dactylobatus,dalatiidae,dasyatis,dentiraja,dipturus,echinorhinus brucus,echinorhinus cookei,eridacnis,etmopteridae,figaro,fontitrygon,galeocerdo cuvier,galeorhinus galeus,galeus,ginglymostoma cirratum,glaucostegidae,glyphis,gurgesiellidae,gymnuridae,halaelurus,haploblepharus,hemigaleidae,hemiscylliidae,hemitrygon,heterodontidae,hexanchiformes,hexatrygon bickelli,himantura,holohalaelurus,hongeo,hypanus,hypnos monopterygius,isurus oxyrinchus,isurus paucus,lamna ditropis,lamna nasus,leptocharias smithii,leucoraja,maculabatis,malacoraja,manta,megachasma pelagios,megatrygon microps,mitsukurina owstoni,mobula,mobula alfredi,mobula birostris,myliobatidae,narcinidae,narkidae,nebrius ferrugineus,neoraja,neotrygon,notoraja,odontaspididae,okamejei,orbiraja,orectolobidae,oxynotidae,parascylliidae,parmaturus,pastinachus,pateobatis,pentanchus,platyrhinidae,plesiobatis daviesi,poroderma,prionace glauca,pristidae,pristiophoridae,proscyllium,pseudocarcharias kamoharai,pseudotriakidae,pteroplatytrygon violacea,raja,rajella,rhincodon typus,rhinidae,rhinobatidae,rhinopteridae,rostroraja,schroederichthys,scyliorhinus,somniosidae,somniosus microcephalus,sphyrnidae,spiniraja,squalidae,squatinidae,stegostoma fasciatum,taeniura,taeniurops,telatrygon,torpedinidae,triakidae,triakis semifasciata,trygonorrhinidae,urogymnus,urolophidae,urotrygonidae,zanobatidae,zearaja,zearaja maugeana
physiological tolerance breadths,salinity,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,euryhaline,stenohaline,stenohaline,euryhaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,euryhaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,euryhaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,euryhaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,euryhaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,euryhaline
physiological tolerance breadths,sensitivity to wave energy (physical forcing),not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,na,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,na,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive
physiological tolerance breadths,thermal - sensitivity to heat spikes/heat waves,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),age to 1st reproduction/generation time,1-5yrs,5-10yrs,10-20yrs,5-10yrs,5-10yrs,unknown,unknown,unknown,1-5yrs,1-5yrs,1-5yrs,5-10yrs;10-20yrs,unknown,5-10yrs,NA,5-10yrs,unknown,unknown,5-10yrs,10-20yrs,10-20yrs,>20yrs,unknown,unknown,5-10yrs;10-20yrs,NA,5-10yrs,NA,unknown,5-10yrs,10-20yrs,10-20yrs,10-20yrs,NA,1-5yrs;5-10yrs;10-20yrs;>20yrs,unknown,unknown,5-10yrs,10-20yrs,unknown,10-20yrs,1-5yrs;5-10yrs,10-20yrs,unknown,unknown,unknown,unknown,NA,1-5yrs,unknown,10-20yrs,5-10yrs;10-20yrs,unknown,5-10yrs,unknown,5-10yrs,5-10yrs,unknown,10-20yrs,10-20yrs,5-10yrs;10-20yrs,10-20yrs,NA,10-20yrs,5-10yrs,5-10yrs,5-10yrs,NA,unknown,NA,5-10yrs,5-10yrs,5-10yrs,unknown,unknown,unknown,10-20yrs,5-10yrs,1-5yrs;5-10yrs,unknown,5-10yrs,5-10yrs,5-10yrs,10-20yrs,NA,NA,unknown,unknown,5-10yrs,unknown,unknown,unknown,10-20yrs,5-10yrs,5-10yrs,1-5yrs;5-10yrs,NA,5-10yrs,NA,unknown,1-5yrs;5-10yrs,unknown,>20yrs,5-10yrs,1-5yrs;5-10yrs,5-10yrs,5-10yrs,unknown,unknown,NA,>20yrs,5-10yrs;10-20yrs,5-10yrs,10-20yrs,5-10yrs,NA,unknown,5-10yrs,unknown,unknown,1-5yrs;5-10yrs,10-20yrs,5-10yrs,5-10yrs,1-5yrs,1-5yrs,unknown,5-10yrs,unknown
r (reproductive traits),are there sub-populations?,unknown,no,no,no,unknown,possibly,yes,unknown,yes,yes,yes,unknown,yes,unknown,unknown,unknown,unknown,yes,yes,yes,yes,yes,yes,yes,unknown,no,unknown,yes,unknown,unknown,unknown,yes,yes,no,yes,unknown,unknown,yes,yes,unknown,yes,unknown,yes,possibly,possibly,unknown,yes,yes,no,unknown,no,yes,yes,unknown,yes,unknown,unknown,yes,yes,yes,yes,yes,yes,unknown,unknown,unknown,unknown,unknown,yes,yes,unknown,unknown,unknown,yes,yes,yes,yes,unknown,unknown,unknown,yes,unknown,unknown,no,yes,no,no,unknown,unknown,no,unknown,unknown,no,unknown,yes,yes,no,yes,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,yes,yes,unknown,unknown,yes,yes,yes,unknown,unknown,unknown,no,unknown,no,unknown,unknown,unknown,yes,unknown,unknown,yes
r (reproductive traits),can the sex ratio be altered by a stressor?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,possibly,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
r (reproductive traits),fecundity,1-2;2-5,1-2,1-2,1-2;2-5,50-100;100-1000,NA,2-5,NA,2-5,2-5,2-5,NA,5-10,50-100;100-1000,2-5,50-100;100-1000,NA,<1;1-2,2-5;5-10,5-10,<1;1-2;2-5,<1;1-2;2-5,1-2;2-5,1-2,2-5,1-2,50-100;100-1000,1-2;2-5;5-10,NA,50-100;100-1000,NA,2-5;5-10,20-50,1-2,2-5;5-10;10-20,NA,NA,20-50,2-5;5-10;10-20,NA,10-20,5-10;10-20,5-10,NA,5-10,NA,NA,2-5;5-10,5-10;10-20;20-50,10-20,10-20,1-2;2-5;5-10,2-5,NA,NA,50-100;100-1000,NA,2-5;5-10,2-5,1-2,1-2,1-2;2-5,5-10,10-20;20-50,NA,50-100;100-1000,NA,NA,1-2,NA,NA,<1;1-2,NA,NA,1-2;2-5,2-5;5-10,10-20,50-100;100-1000,1-2;2-5,NA,1-2,50-100;100-1000,50-100;100-1000,5-10;10-20,2-5;5-10,NA,NA,NA,NA,NA,NA,NA,1-2;2-5,20-50;50-100,2-5;5-10,2-5;5-10,1-2,2-5,<1;1-2,2-5,20-50;50-100,NA,20-50;50-100,5-10;10-20,1-2;2-5;5-10,<1,50-100;100-1000,NA,NA,1-2;2-5;5-10;10-20;20-50,2-5,5-10;10-20;20-50,50-100;100-1000,<1;1-2;2-5;5-10,1-2;2-5;5-10,5-10,NA,NA,NA,NA,2-5;5-10,2-5;5-10,1-2;2-5;5-10,NA,1-2;2-5,1-2;2-5;5-10;10-20,1-2;2-5,50-100;100-1000,NA
r (reproductive traits),feeding larva (post-hatching metamorphosis),na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,no larvae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,no larvae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
r (reproductive traits),global population size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,10k-100k,unknown,unknown,unknown,1k-10k;10k-100k,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown;1k-10k,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,>1m,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1k-10k;10k-100k,unknown,unknown,unknown,unknown,unknown,unknown,unknown,100k-1m,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,>1m,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1k-10k
r (reproductive traits),lifetime # reproductive opportunities,11-25,2-10,2-10,2-10,unknown,unknown,unknown,unknown,11-25,11-25,11-25,unknown,unknown,unknown,NA,unknown,unknown,unknown,2-10,26-50,2-10,2-10;11-25,unknown,unknown,11-25,NA,unknown,NA,unknown,unknown,2-10,2-10,2-10,NA,2-10,unknown,unknown,11-25,11-25,unknown,2-10;11-25,2-10;11-25,26-50,unknown,unknown,unknown,unknown,NA,2-10,unknown,11-25,2-10;11-25,unknown,unknown,unknown,unknown,unknown,unknown,2-10,2-10,2-10,11-25,NA,unknown,unknown,unknown,2-10,NA,unknown,NA,2-10,unknown,unknown,unknown,unknown,unknown,2-10;11-25,unknown,11-25,unknown,2-10,unknown,unknown,2-10,NA,NA,unknown,unknown,unknown,unknown,unknown,unknown,2-10,2-10,2-10,2-10,NA,2-10,NA,unknown,unknown,unknown,26-50,2-10,2-10;11-25,2-10,unknown,unknown,unknown,NA,11-25,2-10,unknown,2-10,2-10,NA,unknown,unknown,unknown,unknown,2-10,2-10,2-10,unknown,2-10,11-25,unknown,unknown,unknown
r (reproductive traits),max age,20-100yrs,10-20yrs,10-20yrs,20-100yrs,unknown,unknown,unknown,unknown,20-100yrs,20-100yrs,20-100yrs,20-100yrs,unknown,unknown,10-20yrs,unknown,unknown,unknown,10-20yrs;20-100yrs,10-20yrs;20-100yrs,20-100yrs,20-100yrs,unknown,unknown,20-100yrs,NA,unknown,NA,unknown,unknown,20-100yrs,20-100yrs,20-100yrs,NA,10-20yrs;20-100yrs,unknown,unknown,20-100yrs,20-100yrs,unknown,20-100yrs,10-20yrs,10-20yrs;20-100yrs,unknown,10-20yrs,unknown,unknown,NA,10-20yrs,unknown,20-100yrs,20-100yrs,unknown,20-100yrs,unknown,unknown,20-100yrs,unknown,20-100yrs,20-100yrs,20-100yrs,20-100yrs,NA,20-100yrs,20-100yrs,unknown,10-20yrs,NA,unknown,NA,10-20yrs,unknown,unknown,10-20yrs,unknown,unknown,20-100yrs,unknown,10-20yrs,unknown,10-20yrs,unknown,unknown,20-100yrs,NA,NA,unknown,20-100yrs,20-100yrs,unknown,unknown,unknown,10-20yrs,20-100yrs,10-20yrs,5-10yrs,NA,10-20yrs,NA,10-20yrs,5-10yrs;10-20yrs,unknown,20-100yrs,10-20yrs,10-20yrs,10-20yrs,unknown,unknown,unknown,NA,>100yrs,10-20yrs;20-100yrs,unknown,20-100yrs,20-100yrs,20-100yrs,10-20yrs,20-100yrs,unknown,unknown,10-20yrs,20-100yrs,10-20yrs,20-100yrs,10-20yrs,10-20yrs,unknown,unknown,unknown
r (reproductive traits),parental investment,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,egg-layer unattended,egg-layer unattended,egg-layer unattended,egg-layer unattended,egg-layer unattended,egg-layer unattended,egg-layer unattended,egg-layer unattended,live birth/egg care,egg-layer unattended,live birth/egg care,egg-layer unattended,live birth/egg care,live birth/egg care;egg-layer unattended,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,egg-layer unattended,live birth/egg care,live birth/egg care,live birth/egg care;egg-layer unattended,egg-layer unattended,live birth/egg care,live birth/egg care,egg-layer unattended,egg-layer unattended,live birth/egg care,live birth/egg care,live birth/egg care;egg-layer unattended,live birth/egg care,egg-layer unattended;live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,egg-layer unattended;live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,egg-layer unattended,live birth/egg care,egg-layer unattended,egg-layer unattended,live birth/egg care,egg-layer unattended,live birth/egg care,egg-layer unattended,live birth/egg care,live birth/egg care,live birth/egg care,egg-layer unattended,egg-layer unattended,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,egg-layer unattended,live birth/egg care,egg-layer unattended,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,egg-layer unattended,live birth/egg care,egg-layer unattended,live birth/egg care,egg-layer unattended,egg-layer unattended,live birth/egg care,live birth/egg care,egg-layer unattended,egg-layer unattended,live birth/egg care,live birth/egg care,egg-layer unattended,live birth/egg care,live birth/egg care,egg-layer unattended,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care;egg-layer unattended,live birth/egg care,live birth/egg care,live birth/egg care,egg-layer unattended,egg-layer unattended,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,egg-layer unattended,egg-layer unattended,egg-layer unattended,live birth/egg care,live birth/egg care,live birth/egg care,egg-layer unattended,live birth/egg care,live birth/egg care,egg-layer unattended,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,egg-layer unattended,egg-layer unattended
r (reproductive traits),post-birth/hatching maternal dependence,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
r (reproductive traits),reproductive strategy,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious
spatial scale of species,depth (min/max),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spatial scale of species,eoo (range),>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,5000-19999,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,100-4999
spatial scale of species,zone,demersal;pelagic,pelagic,pelagic,pelagic,demersal,benthic,demersal,benthic;demersal,demersal,demersal,demersal,benthic;demersal,demersal,demersal,benthic,demersal,benthic,demersal,demersal;pelagic,intertidal;neritic,pelagic,demersal,demersal,demersal,pelagic,demersal,demersal,demersal;pelagic,demersal,demersal,demersal,demersal,demersal,demersal,demersal,demersal,demersal,demersal;pelagic,demersal,demersal,benthic,benthic,intertidal;neritic,benthic;demersal,demersal,demersal,demersal,demersal,benthic,benthic,benthic,demersal,demersal,benthic,demersal,demersal,benthic,benthic,pelagic,pelagic,pelagic,pelagic,demersal,demersal,benthic,demersal,pelagic,pelagic,pelagic,pelagic,pelagic,pelagic,pelagic,demersal;pelagic,benthic,benthic,benthic,demersal,benthic,benthic,demersal;pelagic,demersal,demersal,benthic,demersal,benthic,demersal,demersal,benthic,demersal,benthic,benthic,demersal,pelagic,benthic,benthic,demersal,pelagic,demersal,pelagic,demersal,demersal,pelagic,benthic,benthic,pelagic,demersal,demersal,demersal,demersal,demersal,pelagic;demersal,demersal,demersal,benthic,demersal,benthic,benthic,demersal,benthic;demersal,demersal,demersal,benthic,benthic,benthic,benthic;demersal,benthic,demersal,benthic
