category,trait,acanthochromis polyacanthus,acanthurus dussumieri,acromycter perturbator,amphiprion akindynos,anguilla australis,apterichtus kendalli,ariosoma selenops,asarcenchelys longimanus,balistoides viridescens,bathycongrus retrotinctus,bathycongrus vicinalis,bathypterois grallator,bathyuroconger vicinus,brachionichthys hirsutus,brachysomophis longipinnis,callechelys bitaeniata,carapus bermudensis,cephalopholis cyanostigma,cetoscarus bicolor,chaetodon auriga,chaetodon triangulum,chaetodon trifascialis,champsocephalus gunnari,chanos chanos,chlopsis kazuko,cirripectes alleni,cirripectes filamentosus,clupea harengus,coloconger japonicus,conger verreauxi,congriscus maldivensis,coryphaena hippurus,crossosalarias macrospilus,derichthys serpentinus,dissostichus eleginoides,ecsenius trilineatus,encheliophis gracilis,enchelycore schismatorhynchus,engraulis ringens,entomacrodus macrospilus,entomacrodus stellifer,epinephelus itajara,epinephelus lanceolatus,eptatretus cirrhatus,eptatretus mendozai,ethadophis akkistikos,ethadophis merenda,eviota sigillata,exocoetus volitans,facciolella karreri,forsterygion varium,gadus morhua,galaxias brevipinnis,gobiodon citrinus,gobiodon histrio,gorgasia maculata,gymnothorax javanicus,heteroconger klausewitzi,heteroconger taylori,hippocampus abdominalis,hippoglossus stenolepis,hoplostethus atlanticus,hoplunnis schmidti,hygophum proximum,hypleurochilus bananensis,hypsoblennius striatus,katsuwonus pelamis,kaupichthys brachychirus,lutjanus carponotatus,lutjanus sebae,meuschenia scaber,monopenchelys acuta,moringua edwardsi,naso vlamingii,nessorhamphus danae,notolabrus celidotus,omobranchus anolius,omobranchus fasciolatus,omobranchus rotundiceps,oncorhynchus nerka,ophichthus altipennis,ophichthus melanoporus,ostorhinchus doederleini,parablennius parvicornis,parablennius yatabei,parablennius zvonimiri,parapercis colias,parenchelyurus hepburni,parma microlepis,phycodurus eques,plectropomus leopardus,pomacentrus coelestis,praealticus dayi,rexea solandri,rhinomuraena quaesita,salarias ceramensis,salarias fasciatus,salarias sinuosus,saurenchelys fierasfer,saurenchelys meteori,scarus schlegeli,sebastes diploproa,serrivomer lanceolatoides,simenchelys parasitica,skythrenchelys zabra,spratelloides delicatulus,synaphobranchus affinis,synaphobranchus kaupii,synaphobranchus oregoni,thunnus maccoyii,uropterygius fuscoguttatus,uropterygius wheeleri,venefica tentaculata,xenomystax trucidans,xestochilus nebulosus
movement,adult mobility,nearly sessile/sedentary,mobile resident,mobile resident,nearly sessile/sedentary,horizontal migrator,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,nearly sessile/sedentary,mobile resident,mobile resident,nearly sessile/sedentary,nearly sessile/sedentary,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,NA,mobile resident,mobile resident,mobile resident,vertical migrator;horizontal migrator,mobile resident,vertical migrator,mobile resident,nomadic,mobile resident,mobile resident,nomadic,mobile resident,nearly sessile/sedentary,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,nearly sessile/sedentary,nomadic,mobile resident,nearly sessile/sedentary,horizontal migrator,horizontal migrator,nearly sessile/sedentary,nearly sessile/sedentary,mobile resident,mobile resident,mobile resident,mobile resident,nearly sessile/sedentary,mobile resident,nearly sessile/sedentary,mobile resident,vertical migrator,mobile resident,mobile resident,horizontal migrator,mobile resident,mobile resident,horizontal migrator,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,horizontal migrator,mobile resident,vertical migrator,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,nearly sessile/sedentary,nearly sessile/sedentary,mobile resident,mobile resident,mobile resident,mobile resident,NA,mobile resident,nearly sessile/sedentary,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,vertical migrator,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,horizontal migrator,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident
movement,planktonic larval duration (pld) exposure,<1month,<4months,>1yr,<1month,>1yr,>1yr,>1yr,>1yr,<4months,>1yr,>1yr,unknown,>1yr,not larvae,>1yr,>1yr,<4months,<4months,<4months,<4months,<4months,<4months,4months-1yr,<1month,>1yr,<4months,<4months,<4months,>1yr,>1yr,>1yr,<1month,<4months,>1yr,4months-1yr,<4months,<4months,>1yr,<4months,<4months,<4months,<4months,<4months,not larvae,not larvae,>1yr,>1yr,<1month,<1month,>1yr,<4months,<4months,4months-1yr,<1month,<1month,>1yr,<4months,>1yr,>1yr,not larvae,<4months,unknown,>1yr,unknown,<4months,<4months,<1month,>1yr,<1month,<1month,<4months,>1yr,>1yr,<4months,>1yr,<4months,<4months,<4months,<4months,<4months,>1yr,>1yr,<1month,<4months,<4months,<4months,<1month,<4months,<1month,not larvae,<4months,<1month,<4months,unknown,>1yr,<4months,<1month,<4months,>1yr,>1yr,<4months,<1month,>1yr,>1yr,>1yr,<1month,>1yr,>1yr,>1yr,<1month,>1yr,>1yr,>1yr,>1yr,>1yr
physiological tolerance breadths,dissolved oxygen,unknown,unknown,medium tolerance,low tolerance,high tolerance,medium tolerance,medium tolerance,medium tolerance,unknown,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,unknown,low tolerance,unknown,unknown,unknown,unknown,low tolerance,low tolerance,medium tolerance,medium tolerance,medium tolerance,high tolerance,medium tolerance,medium tolerance,medium tolerance,low tolerance,medium tolerance,medium tolerance,low tolerance,medium tolerance,unknown,medium tolerance,high tolerance,medium tolerance,medium tolerance,high tolerance,high tolerance,high tolerance,high tolerance,medium tolerance,medium tolerance,unknown,low tolerance,medium tolerance,unknown,low tolerance,high tolerance,unknown,unknown,medium tolerance,unknown,medium tolerance,medium tolerance,unknown,low tolerance,low tolerance,medium tolerance,low tolerance,high tolerance,high tolerance,low tolerance,medium tolerance,unknown,medium tolerance,unknown,medium tolerance,medium tolerance,unknown,medium tolerance,unknown,high tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,unknown,high tolerance,high tolerance,medium tolerance,unknown,high tolerance,unknown,unknown,low tolerance,unknown,high tolerance,unknown,medium tolerance,high tolerance,low tolerance,high tolerance,medium tolerance,medium tolerance,unknown,unknown,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,low tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance
physiological tolerance breadths,ph,<7.4,<7.4,<7.4,7.8-8.2,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,7.8-8.2,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4
physiological tolerance breadths,salinity,stenohaline,stenohaline,stenohaline,stenohaline,catadromous;sw-fw-sw,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,euryhaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,euryhaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,32-34parts per thousand,32-34parts per thousand,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,euryhaline,euryhaline,euryhaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,euryhaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,euryhaline-brackish,stenohaline,stenohaline,stenohaline,stenohaline,euryhaline-brackish,euryhaline,stenohaline,euryhaline,euryhaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,euryhaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline
physiological tolerance breadths,sensitivity to wave energy (physical forcing),unknown,not sensitive,na,not sensitive,no,na,na,na,not sensitive,na,na,not sensitive,na,sensitive,na,na,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,unknown,unknown,na,not sensitive,not sensitive,unknown,na,na,na,sensitive,not sensitive,na,unknown,not sensitive,not sensitive,na,unknown,not sensitive,not sensitive,not sensitive,unknown,not sensitive,not sensitive,na,na,unknown,sensitive,na,unknown,not sensitive,sensitive,unknown,unknown,na,not sensitive,na,na,unknown,not sensitive,not sensitive,na,not sensitive,not sensitive,not sensitive,sensitive,na,not sensitive,not sensitive,not sensitive,na,na,not sensitive,na,not sensitive,not sensitive,not sensitive,not sensitive,sensitive,na,na,unknown,not sensitive,not sensitive,not sensitive,unknown,not sensitive,not sensitive,unknown,not sensitive,not sensitive,not sensitive,not sensitive,na,not sensitive,unknown,not sensitive,na,na,not sensitive,unknown,na,na,na,unknown,na,na,na,sensitive,na,na,na,na,na
physiological tolerance breadths,thermal - sensitivity to heat spikes/heat waves,no,no,unknown,yes,no,unknown,unknown,unknown,no,unknown,unknown,yes,unknown,unknown,unknown,unknown,no,yes,no,no,no,no,unknown,no,unknown,no,no,no,unknown,unknown,unknown,no,no,unknown,unknown,no,no,unknown,no,no,no,no,no,unknown,unknown,unknown,unknown,no,no,unknown,unknown,no,no,unknown,no,unknown,no,unknown,unknown,unknown,no,no,unknown,no,no,no,yes,unknown,no,no,no,unknown,unknown,no,unknown,no,no,no,no,no,unknown,unknown,no,no,no,no,no,no,no,unknown,no,no,no,unknown,unknown,no,unknown,no,unknown,unknown,no,unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,unknown
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,30c,30c,15c,30c,30c,25c,25c,25c,30c,20c,20c,5c,15c,NA,20c,30c,30c,30c,30c,30c,30c,30c,NA,30c,25c,30c,30c,15c,25c,25c,15c,30c,30c,15c,NA,30c,30c,30c,20c,30c,30c,30c,30c,25c,25c,25c,25c,30c,30c,15c,20c,15c,NA,NA,30c,30c,30c,25c,30c,NA,15c,10c,20c,5c,30c,30c,30c,30c,30c,30c,25c,30c,30c,30c,15c,25c,30c,30c,30c,15c,30c,20c,30c,30c,30c,30c,20c,30c,25c,NA,30c,30c,30c,15c,30c,30c,NA,30c,15c,15c,30c,15c,10c,10c,30c,30c,10c,10c,10c,30c,30c,25c,10c,15c,30c
r (reproductive traits),age to 1st reproduction/generation time,<1yr,>20yrs,<1yr,<1yr,10-20yrs,1-5yrs,<1yr,1-5yrs,1-5yrs,<1yr,<1yr,unknown,<1yr,1-5yrs,<1yr,1-5yrs,1-5yrs,1-5yrs,1-5yrs,1-5yrs,1-5yrs,1-5yrs,5-10yrs,NA,<1yr,<1yr,<1yr,1-5yrs;5-10yrs,NA,<1yr,1-5yrs,<1yr,<1yr,<1yr,5-10yrs,<1yr,1-5yrs,1-5yrs,<1yr,<1yr,<1yr,5-10yrs,5-10yrs,5-10yrs,5-10yrs,1-5yrs,1-5yrs,<1yr,1-5yrs,1-5yrs,<1yr,1-5yrs,1-5yrs,<1yr,<1yr,<1yr,1-5yrs,<1yr,<1yr,<1yr,1-5yrs,10-20yrs,1-5yrs,unknown,<1yr,<1yr,1-5yrs,<1yr,1-5yrs,1-5yrs,1-5yrs,1-5yrs,<1yr,>20yrs,<1yr,1-5yrs,<1yr,<1yr,<1yr,10-20yrs,1-5yrs,1-5yrs,<1yr,<1yr,<1yr,<1yr,1-5yrs,<1yr,1-5yrs,<1yr,1-5yrs,<1yr,<1yr,1-5yrs,1-5yrs,<1yr,<1yr,<1yr,<1yr,<1yr,1-5yrs,1-5yrs,1-5yrs,1-5yrs,<1yr,<1yr,1-5yrs,1-5yrs,1-5yrs,1-5yrs,1-5yrs,1-5yrs,<1yr,<1yr,1-5yrs
r (reproductive traits),are there sub-populations?,yes,yes,unknown,yes,yes;by river,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,no,unknown,unknown,yes,yes,yes,yes,yes,yes,yes,yes,unknown,no,no,yes,unknown,unknown,unknown,no,no,unknown,yes,no,yes,unknown,yes,no,no,yes,yes,NA,NA,unknown,unknown,yes,no,unknown,yes,no,no,yes,yes,unknown,yes,unknown,unknown,yes,no,no,unknown,unknown,no,no,no,unknown,yes,yes,yes,unknown,unknown,yes,unknown,yes,no,no,no,no,unknown,unknown,NA,no,no,no,yes,no,yes,yes,yes,yes,no,yes,unknown,no,yes,no,unknown,unknown,yes,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,unknown
r (reproductive traits),can the sex ratio be altered by temperature?,unknown,unknown,no,yes-if female dies a male takes over and becomes female,unknown,no,no,no,unknown,no,no,unknown,no,unknown,no,no,unknown,no,unknown,unknown,unknown,unknown,unknown,unknown,no,no,no,unknown,no,no,no,unknown,no,no,unknown,no,unknown,no,unknown,no,no,unknown,unknown,probably,probably,no,no,unknown,unknown,no,unknown,unknown,unknown,unknown,unknown,no,unknown,no,no,unknown,unknown,unknown,no,unknown,no,no,unknown,no,unknown,unknown,unknown,no,no,unknown,no,unknown,no,no,no,unknown,no,no,NA,no,no,no,unknown,no,unknown,unknown,unknown,unknown,no,unknown,no,no,unknown,no,no,no,unknown,unknown,no,no,no,unknown,no,no,no,unknown,no,no,no,no,no
r (reproductive traits),fecundity,100-1000,1000-10000,>10000,>10000,>10000,>10000,>10000,>10000,1000-10000,>10000,>10000,>10000,>10000,100-1000,>10000,>10000,1000-10000,>10000,1000-10000,1000-10000,1000-10000,1000-10000,>10000,>10000,>10000,100-1000,100-1000,>10000,>10000,>10000,>10000,>10000,100-1000,>10000,>10000,100-1000,1000-10000,>10000,100-1000,100-1000,100-1000,>10000,>10000,20-50,20-50,>10000,>10000,100-1000,>10000,>10000,100-1000,>10000,100-1000,100-1000,100-1000,>10000,>10000,>10000,>10000,100-1000,>10000,>10000,>10000,NA,100-1000,100-1000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,1000-10000,>10000,1000-10000,100-1000,100-1000,100-1000,>10000,>10000,>10000,100-1000,100-1000,100-1000,100-1000,1000-10000,100-1000,>10000,100-1000,>10000,>10000,100-1000,>10000,>10000,100-1000,100-1000,100-1000,>10000,>10000,1000-10000,1000-10000,>10000,1000-10000,>10000,100-1000,1000-10000,1000-10000,1000-10000,>10000,>10000,>10000,>10000,>10000,>10000
r (reproductive traits),feeding larva (post-hatching metamorphosis),feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,no larva,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,na,na,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,na,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,na,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,na,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,na,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier,feeding non-calcifier
r (reproductive traits),global population size,>1m,>1m,NA,100k-1m;>1m,>1m,NA,NA,NA,>1m,NA,NA,>1m,NA,<1000;1k-10k,NA,NA,>1m,100k-1m;>1m,>1m,>1m,>1m,>1m,100k-1m,>1m,NA,10k-100k,>1m,>1m,NA,NA,NA,>1m,>1m,NA,100k-1m,100k-1m,>1m,NA,>1m,10k-100k,100k-1m,>1m,>1m,>1m,10k-100k,NA,NA,>1m,>1m,NA,>1m,>1m,>1m,>1m,>1m,NA,>1m,NA,NA,>1m,>1m,>1m,NA,>1m,10k-100k,100k-1m,>1m,NA,>1m,>1m,>1m,NA,NA,>1m,NA,>1m,100k-1m,NA,NA,>1m,NA,NA,>1m,NA,NA,NA,>1m,NA,>1m,100k-1m,>1m,>1m,NA,>1m,NA,NA,>1m,NA,NA,NA,>1m,>1m,NA,NA,NA,>1m,NA,NA,NA,>1m,NA,NA,NA,NA,NA
r (reproductive traits),lifetime # reproductive opportunities,11-25,26-50,11-25,>100,1,11-25,11-25,11-25,11-25;26-50,11-25,11-25,unknown,11-25,26-50,11-25,11-25,11-25,>100,51-100,>100,>100,>100,51-100,11-25,11-25,26-50,26-50,51-100,NA,11-25,11-25,51-100,26-50,11-25,51-100,26-50,11-25,11-25,2-10;11-25,26-50,26-50,26-50,26-50,11-25;26-50,11-25;26-50,11-25,11-25,2-10,51-100,11-25,11-25,26-50;51-100,2-10,2-10,2-10,11-25,>100,11-25,11-25,11-25,26-50;51-100,26-50;51-100,11-25,unknown,26-50,26-50,11-25,11-25,26-50,26-50,51-100,11-25,11-25,26-50,11-25,26-50,26-50,26-50,26-50,2-10,11-25,11-25,2-10,26-50,26-50,26-50,>100,26-50,26-50,11-25,26-50,26-50,26-50,11-25,11-25,26-50,11-25,26-50,11-25,11-25,26-50,51-100,11-25,11-25,11-25,11-25,11-25,11-25,11-25,11-25,11-25,11-25,11-25,11-25,11-25
r (reproductive traits),max age,10-20yrs,10-20yrs,1-5yrs,3months-1yr,20-100yrs,10-20yrs,5-10yrs,10-20yrs,10-20yrs,5-10yrs,5-10yrs,unknown,5-10yrs,1-5yrs,10-20yrs,10-20yrs,1-5yrs;5-10yrs,20-100yrs,20-100yrs,10-20yrs,10-20yrs,10-20yrs,10-20yrs,10-20yrs,1-5yrs,1-5yrs,1-5yrs,20-100yrs,NA,5-10yrs,5-10yrs,1-5yrs,1-5yrs,1-5yrs,10-20yrs,1-5yrs,1-5yrs;5-10yrs,10-20yrs,1-5yrs,1-5yrs,1-5yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs,10-20yrs,10-20yrs,<3months,10-20yrs,10-20yrs,1-5yrs,20-100yrs,1-5yrs,1-5yrs,1-5yrs,5-10yrs,10-20yrs,5-10yrs,5-10yrs,1-5yrs,20-100yrs,>100yrs,10-20yrs,unknown,1-5yrs,1-5yrs,10-20yrs,1-5yrs,10-20yrs,20-100yrs,10-20yrs,10-20yrs,1-5yrs,20-100yrs,1-5yrs,5-10yrs,1-5yrs,1-5yrs,1-5yrs,5-10yrs,10-20yrs,10-20yrs,1-5yrs,1-5yrs,1-5yrs,1-5yrs,10-20yrs,1-5yrs,20-100yrs,1-5yrs,10-20yrs;20-100yrs,1-5yrs,1-5yrs,10-20yrs,10-20yrs,1-5yrs,1-5yrs,1-5yrs,1-5yrs,1-5yrs,5-10yrs,20-100yrs,10-20yrs,10-20yrs,10-20yrs,3months-1yr,10-20yrs,10-20yrs,10-20yrs,10-20yrs,10-20yrs,10-20yrs,1-5yrs,5-10yrs,10-20yrs
