category,trait,alcidae,anatidae,aphrodroma;bulweria;daption;halobaena;pachyptila;pagodroma;pelecanoides;thalassoica,ardenna;calonectris;fulmarus;macronectes;precellaria;puffinus,creagrus;rissa;pagophila;xema;chroicocephalus;hydrocoloeus;rhodostethia;leucophaeus;ichthyaetus;larus,diomedeidae,fregatidae,gaviidae,gelochelidon;hydroprogne;thalasseus;sternula;onychoprion;sterna;chlidonias;phaetusa;larosterna,hydrobatidae,oceanitidae,pelecanidae,phaethontidae,phalacrocoracidae,podicipedidae,pseudobulweria,pterodroma,scolopacidae,spheniscidae,stercorariidae,sulidae
biophysical traits,adult body mass/body size,50mm-999mm,50mm-999mm;>1000mm,50mm-999mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm,50mm-999mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,>1000mm
biophysical traits,calcium carbonate structure location,external,external,external,external,external,external,external,external,external,external,external,external,external,external,external,external,external,external,external,external,external
biophysical traits,calcium carbonate structure stages,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg
biophysical traits,communication requirement (sound),yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
biophysical traits,extreme pressure wave sensitive structures,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
biophysical traits,flight,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
biophysical traits,"navigation requirements (sound or light, or magnetic)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
biophysical traits,respiration structures,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lung,lungs,lungs
breeding/nesting range/number of spawning aggregations (fish),number of sites,one;few;many,one;few;many;does not aggregate,one;few;many,one;few;many,one;few;many;does not aggregate,one;few;many,one;few;many,one;few;many;does not aggregate,one;few;many,one;few;many,one;few;many,one;few;many,one;few;many,one;few;many,one;few;many;does not aggregate,one;few;many,one;few;many,does not aggregate,one;few;many,one;few;many,one;few;many
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
foraging range,"if one/few, size",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
foraging range,"number of sites, incl. terrestrial wetlands",many,many,many,many,many,many,many,many,many,many,many,many,many,many,many,many,many,many,many,many,many
foraging range,sub-population dependence on particular sites,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
movement,adult mobility,mobile resident;horizontal migrator,mobile resident;horizontal migrator,mobile resident;horizontal migrator,horizontal migrator,mobile resident;horizontal migrator,horizontal migrator,mobile resident;horizontal migrator,mobile resident;horizontal migrator,mobile resident;horizontal migrator,mobile resident;horizontal migrator,mobile resident;horizontal migrator,mobile resident;horizontal migrator,mobile resident;horizontal migrator,mobile resident;horizontal migrator,mobile resident;horizontal migrator,mobile resident;horizontal migrator,mobile resident;horizontal migrator,horizontal migrator,mobile resident;horizontal migrator,mobile resident;horizontal migrator,mobile resident;horizontal migrator
movement,planktonic larval duration (pld) exposure,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae
physiological tolerance breadths,dissolved oxygen,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers
physiological tolerance breadths,ph,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4
physiological tolerance breadths,salinity,euryhaline,euryhaline,euryhaline,euryhaline,euryhaline,euryhaline,euryhaline,euryhaline,euryhaline,euryhaline,euryhaline,euryhaline,euryhaline,euryhaline,euryhaline,euryhaline,euryhaline,euryhaline,euryhaline,euryhaline,euryhaline
physiological tolerance breadths,sensitivity to wave energy (physical forcing),not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive
physiological tolerance breadths,thermal - sensitivity to heat spikes/heat waves,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
r (reproductive traits),age to 1st reproduction/generation time,1-5yrs;5-10yrs,1-5yrs,1-5yrs;5-10yrs,1-5yrs;5-10yrs;10-20yrs,1-5yrs,5-10yrs,1-5yrs;5-10yrs,1-5yrs,1-5yrs,1-5yrs,1-5yrs,1-5yrs,1-5yrs;5-10yrs,1-5yrs,1-5yrs,1-5yrs;5-10yrs,1-5yrs;5-10yrs,1-5yrs,1-5yrs;5-10yrs,1-5yrs;5-10yrs,1-5yrs
r (reproductive traits),are there sub-populations?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
r (reproductive traits),fecundity,<1;1-2,1-2;2-5;5-10,<1,<1,1-2;2-5,<1,<1,1-2;2-5;5-10,1-2;2-5,<1,<1,1-2;2-5,<1,1-2;2-5,1-2;2-5;5-10,<1,<1,2-5,<1;1-2,1-2,<1
r (reproductive traits),feeding larva (post-hatching metamorphosis),no larva,no larva,no larva,no larva,no larva,no larva,no larva,no larva,no larva,no larva,no larva,no larva,no larva,no larva,no larva,no larva,no larva,no larva,no larva,no larva,no larva
r (reproductive traits),global population size,1k-10k;10k-100k;100k-1m;>1m,1k-10k;10k-100k;100k-1m;>1m,1k-10k;10k-100k;100k-1m;>1m,1k-10k;10k-100k;100k-1m;>1m,1k-10k;10k-100k;100k-1m;>1m,1k-10k;10k-100k;100k-1m;>1m,1k-10k;10k-100k;100k-1m,1k-10k;10k-100k;100k-1m;>1m,1k-10k;10k-100k;100k-1m;>1m,1k-10k;10k-100k;100k-1m;>1m,1k-10k;10k-100k;100k-1m;>1m,1k-10k;10k-100k;100k-1m;>1m,1k-10k;10k-100k;100k-1m,1k-10k;10k-100k;100k-1m;>1m,1k-10k;10k-100k;100k-1m;>1m,1k-10k;10k-100k;100k-1m;>1m,1k-10k;10k-100k;100k-1m;>1m,>1m,1k-10k;10k-100k;100k-1m;>1m,1k-10k;10k-100k;100k-1m,1k-10k;10k-100k;100k-1m;>1m
r (reproductive traits),lifetime # reproductive opportunities,2-10;11-25;26-50,2-10;11-25;26-50,11-25;26-50,11-25;26-50,2-10;11-25;26-50,26-50;51-100,11-25;26-50,2-10;11-25;26-50,2-10;11-25;26-50,2-10;11-25;26-50,2-10;11-25;26-50,2-10;11-25;26-50,11-25;26-50,2-10;11-25;26-50,2-10;11-25;26-50,2-10;11-25;26-50,2-10;11-25;26-50,2-10;11-25,2-10;11-25;26-50,11-25;26-50,11-25;26-50
r (reproductive traits),max age,5-10yrs;10-20yrs;20-100yrs,10-20yrs;20-100yrs,10-20yrs;20-100yrs,5-10yrs;10-20yrs;20-100yrs,10-20yrs;20-100yrs,20-100yrs,10-20yrs;20-100yrs,10-20yrs;20-100yrs,10-20yrs;20-100yrs,10-20yrs;20-100yrs,10-20yrs;20-100yrs,10-20yrs;20-100yrs,10-20yrs;20-100yrs,10-20yrs;20-100yrs,10-20yrs;20-100yrs,10-20yrs;20-100yrs,10-20yrs;20-100yrs,10-20yrs,10-20yrs;20-100yrs,20-100yrs,20-100yrs
r (reproductive traits),parental investment,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care
r (reproductive traits),post-birth/hatching parental dependence,month-year,month-year,month-year,month-year,month-year,month-year,month-year;>year,month-year,week-month;month-year,month-year,month-year,month-year,month-year;>year,month-year,month-year,month-year,month-year,week-month,month-year;>year,month-year,month-year;>year
r (reproductive traits),reproductive strategy,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious
spatial scale of species,depth (min/max),epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic;mesopelagic,epipelagic,epipelagic
spatial scale of species,eoo (range),>20000,>20000,>20000,>20000,>20000,>20000,<99;>20000,>20000,>20000,100-4999;5000-19999;>20000,100-4999;5000-19999;>20000,100-4999;5000-19999;>20000,<99;>20000,100-4999;5000-19999;>20000,>20000,>20000,>20000,>20000,<99;100-4999;5000-19999;>20000,>20000,>20000
spatial scale of species,zone,intertidal;neritic;oceanic,intertidal;neritic,neritic;oceanic,neritic;oceanic,intertidal;neritic;oceanic,intertidal;neritic;oceanic,neritic;oceanic,intertidal;neritic,intertidal;neritic;oceanic,neritic;oceanic,neritic;oceanic,intertidal;neritic;oceanic,neritic;oceanic,intertidal;neritic;oceanic,intertidal;neritic,neritic;oceanic,neritic;oceanic,neritic;oceanic,intertidal;neritic;oceanic,intertidal;neritic;oceanic,neritic;oceanic
specialisation,across-stage dependent habitats + condition,surface water;deep water;rocky intertidal;sea ice edge,surface water;deep water;sea ice edge,surface water;deep water,surface water;deep water,surface water;deep water;beach;rocky intertidal;mangrove,surface water;deep water,surface water;deep water;beach,surface water;deep water;sea ice edge,surface water;deep water;beach;rocky intertidal,surface water;deep water,surface water;deep water,surface water;deep water;beach;rocky intertidal;mangrove,surface water;deep water;beach,surface water;deep water;beach;rocky intertidal;mangrove,surface water;deep water;sea ice edge,surface water;deep water,surface water;deep water,surface water;deep water,surface water;deep water;sea ice edge;beach;rocky intertidal,surface water;deep water,surface water;deep water;beach
specialisation,air-sea interface,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
specialisation,dependent interspecific interactions,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
specialisation,extreme diet specialization,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist
specialisation,light dependence,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
specialisation,terrestrial and marine life stages,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
specialisation,within-stage dependent habitats + condition,surface water;deep water;rocky intertidal;sea ice edge,surface water;deep water;sea ice edge,surface water;deep water,surface water;deep water,surface water;deep water;beach;rocky intertidal;mangrove,surface water;deep water,surface water;deep water;beach,surface water;deep water;sea ice edge,surface water;deep water;beach;rocky intertidal,surface water;deep water,surface water;deep water,surface water;deep water;beach;rocky intertidal;mangrove,surface water;deep water;beach,surface water;deep water;beach;rocky intertidal;mangrove,surface water;deep water;sea ice edge,surface water;deep water,surface water;deep water,surface water;deep water,surface water;deep water;sea ice edge;beach;rocky intertidal,surface water;deep water,surface water;deep water;beach
