species,n_repr_genus
Acanthochromis polyacanthus,	
Acanthopagrus australis,	9
Acanthurus dusumieri,	
Amphiprion akindynos,	28
Anguilla australis,	
Balistoides viridescens,	
Bathypterois grallator,	
Brachionichthys hirsutus,	5
Carapus bermudensi,	
Cephalopholis cyanostigmata,	9
Chaetodon auriga,	
Chaetodon triangulum,	
Chaetodon trifascialis,	
Champsocephalus gunnari,	
Chanos chanos,	
Clupea harengus,	4
Coryphaena hippurus,	2
Chromis atripectoralis,	73
Chromis dispilus,	3
Ctenoscarus bicolor,
Dissostichus eleginoides,	
Encheliophis gracilis,	
Engraulis ringens,	50
Epinephelus coioides,	6
Epinephelus itajara,	
Epinephelus fasciatus,	11
Epinephelus lanceolatus,	
Eviota sigillata,	
Exocoetus volitans,	
Forsterygion varium,	
Gadus mohua,	
Galaxias brevipinnis,	
Gobiodon citrinus,	
Gobiodon histro,	
Gymnothorax javanicus,	
Hippocampus abdominalis,	
Hippoglossus stenolepis,	
Hoplostethus atlanticus,	
Hoplostethus japonicus,	13
Hygophum proximum,	
Katsuwonus pelamis,	1
Lutjanus carponatatus,	
Lutjanus sebae,	
Meuschenia scaber,	
Molva dypterygia,	7
Naso vlamingi,	
Notolabrus celidotus,	
Oncorhynchus nerka,	18
Osterhinchus doederleini,	
Pagrus auratus,	10
Pomacentrus amboinensis,	53
Pomacentrus coelestis,	1
Parapercis colias,	
Parma microlepis,	10
Phycoduras eques,	
Plectropomus leopardus,	2
Plectropomus areolatus,	2
Rhabdosargus sarba,1
Rexea solandri,	6
Salarias fasciatus,	
Scarus schlegeri,	
Sebastes diploproa,	
Spratelloides delicatulus,	9
Thunnus maccoyii,	8